evaluation,label_id,family,support,m3_f1,m4_f1,delta_f1_m4_minus_m3,status,significance_claim,reference_terminology
A2,ACT_HARBOURING,Act,402,0.6767091541135574,0.6723926380368098,-0.004316516076747545,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,ACT_RECEIPT,Act,226,0.49537037037037035,0.431266846361186,-0.06410352400918434,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,MEANS_THREAT_FORCE_OR_COERCION,Means,469,0.7342799188640974,0.734020618556701,-0.00025930030739640397,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,MEANS_ABDUCTION,Means,72,0.3963963963963964,0.3564356435643564,-0.03996075283203998,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,MEANS_FRAUD,Means,225,0.367601246105919,0.3302180685358255,-0.03738317757009346,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,MEANS_DECEPTION,Means,470,0.7987486965589156,0.7978609625668449,-0.0008877339920706495,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,Means,564,0.6285714285714286,0.644880174291939,0.016308745720510442,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,Means,87,0.35514018691588783,0.37,0.014859813084112161,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,PURPOSE_SEXUAL_EXPLOITATION,Purpose,720,0.9717912552891397,0.9637010676156583,-0.008090187673481353,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,PURPOSE_FORCED_LABOUR_OR_SERVICES,Purpose,157,0.6491228070175439,0.693069306930693,0.04394649991314914,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,Purpose,37,0.24,0.3058823529411765,0.0658823529411765,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,PURPOSE_SERVITUDE,Purpose,44,0.3925233644859813,0.42,0.027476635514018688,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,PURPOSE_REMOVAL_OF_ORGANS,Purpose,0,N/A,N/A,N/A,NO_REFERENCE_SUPPORT,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,PURPOSE_OTHER,Purpose,30,0.3291139240506329,0.3116883116883117,-0.017425612362321208,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
