provenance_schema_version,reliability_case_id,reviewer_order,search_rank,canonical_url,primary_amp_cohort_member,primary_cohort_status,a1_role,a1_train,a1_validation,a1_test,a1_active_demo,a1_reserve_demo,a1_effective_supervised_train,a1_demo_bank_role,a1_m4_demo,a1_existing_prediction_evaluable_without_split_leakage,a2_fold_1_role,a2_fold_1_train,a2_fold_1_validation,a2_fold_1_test,a2_fold_1_active_demo,a2_fold_1_reserve_demo,a2_fold_1_effective_supervised_train,a2_fold_1_demo_bank_role,a2_fold_1_approved_demo_pool_role,a2_fold_1_m4_demo,a2_fold_1_existing_prediction_evaluable_without_split_leakage,a2_fold_2_role,a2_fold_2_train,a2_fold_2_validation,a2_fold_2_test,a2_fold_2_active_demo,a2_fold_2_reserve_demo,a2_fold_2_effective_supervised_train,a2_fold_2_demo_bank_role,a2_fold_2_approved_demo_pool_role,a2_fold_2_m4_demo,a2_fold_2_existing_prediction_evaluable_without_split_leakage,a2_fold_3_role,a2_fold_3_train,a2_fold_3_validation,a2_fold_3_test,a2_fold_3_active_demo,a2_fold_3_reserve_demo,a2_fold_3_effective_supervised_train,a2_fold_3_demo_bank_role,a2_fold_3_approved_demo_pool_role,a2_fold_3_m4_demo,a2_fold_3_existing_prediction_evaluable_without_split_leakage,a2_test_fold_ids,any_effective_supervised_training_exposure,any_active_or_reserve_demo_exposure,evaluation_b_leakage_caution,a1_split_sha256,a2_split_sha256,reliability_sample_sha256,annotation_values_used,case_selection_performed
1.0.0,HRV1-011,11,1396,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/chn/2004/kwok_ho.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-012,12,917,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/bra/2009/processo_n_2009.03.00.014160-5.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,2,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-013,13,615,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2011/united_states_v._steven_c._albers.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,3,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-014,14,13,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/aze/2021/case_of_zoletic_and_others_v._azerbaijan.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-015,15,728,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gtm/2010/expediente_2571-2010_inconstitucionalidad_en_caso_concreto.html,0,OUTSIDE_PRIMARY_COHORT,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,0,0,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,,0,0,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,,0,0,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,,0,0,,0,0,OUTSIDE_PRIMARY_COHORT_NO_EXISTING_M1_M4_EVAL_A_PREDICTION,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-016,16,898,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2009/united_states_v._oscar_mondragon.html,1,IN_PRIMARY_AMP_COHORT,TEST,0,0,1,0,0,0,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,3,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-017,17,313,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2013/case_no._r-llp-09-05622-cr.html,1,IN_PRIMARY_AMP_COHORT,TEST,0,0,1,0,0,0,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,2,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-018,18,889,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2009/acr_2006.72.03.003070-2_trf4.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,2,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-019,19,934,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tha/2009/kulab_or_rampueng_thongmeesri_or_sai-utah.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-020,20,1508,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/jor/case_no._23572010.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-021,21,604,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/ind/2011/shiva_ent_udyog_v._national_human_rights_commission_and_ors.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,2,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-022,22,962,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/can/2009/emerson.html,1,IN_PRIMARY_AMP_COHORT,TEST,0,0,1,0,0,0,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,3,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-023,23,304,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tha/2013/samaesan.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,VALIDATION,0,1,0,0,0,0,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-024,24,34,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/ita/2019/proc._no._128092019.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-025,25,627,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/tha/2010/ranya_boonmee_kaew_kongmuang_and_manus_boonmee.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-026,26,1515,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/jor/case_no._21052009.html,0,OUTSIDE_PRIMARY_COHORT,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,0,0,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,,0,0,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,,0,0,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,,0,0,,0,0,OUTSIDE_PRIMARY_COHORT_NO_EXISTING_M1_M4_EVAL_A_PREDICTION,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-027,27,999,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2009/crim._case_no._q-05-135363.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,2,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-028,28,474,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/bra/2011/acr_200850010049016es.html,0,OUTSIDE_PRIMARY_COHORT,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,0,0,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,,0,0,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,,0,0,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,,0,0,,0,0,OUTSIDE_PRIMARY_COHORT_NO_EXISTING_M1_M4_EVAL_A_PREDICTION,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-029,29,1462,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/1999/united_states_v._alex_mishulovich.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,VALIDATION,0,1,0,0,0,0,,,0,0,VALIDATION,0,1,0,0,0,0,,,0,0,TEST,0,0,1,0,0,0,,,0,1,3,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-030,30,509,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/arg/2011/case_n_2338.html,1,IN_PRIMARY_AMP_COHORT,TEST,0,0,1,0,0,0,,0,1,TEST,0,0,1,0,0,0,,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,VALIDATION,0,1,0,0,0,0,,,0,0,1,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-031,31,546,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/swe/2011/case_no_b_87-11.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,VALIDATION,0,1,0,0,0,0,,,0,0,2,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-032,32,1111,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/khm/2008/p._s..html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-033,33,375,https://www.unodc.org/cld/case-law-doc/criminalgroupcrimetype/swe/2012/case_no_b_6114-11.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,VALIDATION,0,1,0,0,0,0,,,0,0,TEST,0,0,1,0,0,0,,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,2,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-034,34,262,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/phl/2013/case_no.cbu-91076.html,1,IN_PRIMARY_AMP_COHORT,TEST,0,0,1,0,0,0,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,2,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
