reliability_case_id,search_rank,jurisdiction,family,silver_reference_available,silver_labels_json,human_labels_json,shared_labels_json,silver_only_labels_json,human_only_labels_json,category,exact_set_concordance,jaccard
HRV1-004,202,Poland,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]",[],[],EXACT_MATCH,1,1.0
HRV1-042,235,Kenya,ACT,1,"[""ACT_RECRUITMENT"",""ACT_HARBOURING""]","[""ACT_HARBOURING""]","[""ACT_HARBOURING""]","[""ACT_RECRUITMENT""]",[],SILVER_BROADER,0,0.5
HRV1-001,237,United States of America,ACT,1,"[""ACT_RECRUITMENT""]","[""ACT_RECRUITMENT""]","[""ACT_RECRUITMENT""]",[],[],EXACT_MATCH,1,1.0
HRV1-070,238,Australia,ACT,1,"[""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_TRANSPORTATION"",""ACT_HARBOURING""]",[],"[""ACT_RECRUITMENT"",""ACT_RECEIPT""]",HUMAN_BROADER,0,0.5
HRV1-034,262,Philippines,ACT,1,"[""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_HARBOURING""]","[""ACT_TRANSPORTATION""]","[""ACT_RECRUITMENT"",""ACT_RECEIPT""]",PARTIAL_OVERLAP_BOTH_HAVE_EXTRAS,0,0.25
HRV1-045,285,Belgium,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING""]","[""ACT_TRANSPORTATION"",""ACT_TRANSFER""]","[""ACT_RECEIPT""]",PARTIAL_OVERLAP_BOTH_HAVE_EXTRAS,0,0.4
HRV1-023,304,Thailand,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION""]",[],"[""ACT_HARBOURING"",""ACT_RECEIPT""]",HUMAN_BROADER,0,0.5
HRV1-051,317,Norway,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSFER"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING""]","[""ACT_TRANSFER""]","[""ACT_TRANSPORTATION""]",PARTIAL_OVERLAP_BOTH_HAVE_EXTRAS,0,0.5
HRV1-033,375,Sweden,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION""]",[],"[""ACT_RECEIPT""]",HUMAN_BROADER,0,0.6666666666666666
HRV1-037,409,Sweden,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]",[],[],EXACT_MATCH,1,1.0
HRV1-062,418,United Kingdom of Great Britain and Northern Ireland,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION""]","[""ACT_TRANSFER""]","[""ACT_HARBOURING"",""ACT_RECEIPT""]",PARTIAL_OVERLAP_BOTH_HAVE_EXTRAS,0,0.4
HRV1-035,468,Finland,ACT,1,"[""ACT_RECRUITMENT""]","[""ACT_RECRUITMENT""]","[""ACT_RECRUITMENT""]",[],[],EXACT_MATCH,1,1.0
HRV1-049,480,Argentina,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_TRANSPORTATION"",""ACT_TRANSFER""]",[],SILVER_BROADER,0,0.6
HRV1-030,509,Argentina,ACT,1,"[""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECEIPT""]",[],"[""ACT_RECRUITMENT"",""ACT_HARBOURING""]",HUMAN_BROADER,0,0.3333333333333333
HRV1-072,513,Brazil,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER""]",[],[],EXACT_MATCH,1,1.0
HRV1-031,546,Sweden,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT""]",[],SILVER_BROADER,0,0.75
HRV1-055,574,Nicaragua,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_TRANSFER""]",[],SILVER_BROADER,0,0.8
HRV1-071,582,Serbia,ACT,1,"[""ACT_RECRUITMENT"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_RECEIPT""]",[],"[""ACT_TRANSPORTATION"",""ACT_HARBOURING""]",HUMAN_BROADER,0,0.5
HRV1-013,615,United States of America,ACT,1,"[""ACT_RECEIPT""]","[""ACT_RECEIPT""]","[""ACT_RECEIPT""]",[],[],EXACT_MATCH,1,1.0
HRV1-067,633,Guatemala,ACT,1,"[""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING""]","[""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_TRANSFER""]",[],SILVER_BROADER,0,0.6666666666666666
HRV1-069,751,Serbia,ACT,1,"[""ACT_RECRUITMENT"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_RECEIPT""]",[],[],EXACT_MATCH,1,1.0
HRV1-065,759,United States of America,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_TRANSFER""]","[""ACT_RECEIPT""]",PARTIAL_OVERLAP_BOTH_HAVE_EXTRAS,0,0.6
HRV1-050,769,Belgium,ACT,0,[],[],,,,SILVER_REFERENCE_UNAVAILABLE,,
HRV1-060,839,Ecuador,ACT,1,"[""ACT_TRANSPORTATION"",""ACT_TRANSFER""]","[""ACT_TRANSPORTATION"",""ACT_TRANSFER""]","[""ACT_TRANSPORTATION"",""ACT_TRANSFER""]",[],[],EXACT_MATCH,1,1.0
HRV1-047,842,Czechia,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING""]","[""ACT_TRANSPORTATION""]","[""ACT_RECEIPT""]",PARTIAL_OVERLAP_BOTH_HAVE_EXTRAS,0,0.5
HRV1-018,889,Brazil,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_TRANSFER""]",[],SILVER_BROADER,0,0.8
HRV1-016,898,United States of America,ACT,1,"[""ACT_TRANSPORTATION""]","[""ACT_TRANSPORTATION""]","[""ACT_TRANSPORTATION""]",[],[],EXACT_MATCH,1,1.0
HRV1-012,917,Brazil,ACT,1,"[""ACT_RECRUITMENT""]","[""ACT_RECRUITMENT""]","[""ACT_RECRUITMENT""]",[],[],EXACT_MATCH,1,1.0
HRV1-019,934,Thailand,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]",[],[],EXACT_MATCH,1,1.0
HRV1-022,962,Canada,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]",[],"[""ACT_TRANSFER"",""ACT_RECEIPT""]",HUMAN_BROADER,0,0.6
HRV1-077,1105,United States of America,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION""]",[],[],EXACT_MATCH,1,1.0
HRV1-032,1111,Cambodia,ACT,1,"[""ACT_RECRUITMENT"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING""]",[],"[""ACT_RECEIPT""]",HUMAN_BROADER,0,0.6666666666666666
HRV1-057,1142,Colombia,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]",[],"[""ACT_RECEIPT""]",HUMAN_BROADER,0,0.75
HRV1-046,1159,Switzerland,ACT,1,"[""ACT_RECRUITMENT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT""]",[],"[""ACT_HARBOURING"",""ACT_RECEIPT""]",HUMAN_BROADER,0,0.3333333333333333
HRV1-068,1229,United States of America,ACT,1,"[""ACT_RECRUITMENT"",""ACT_HARBOURING""]","[""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_HARBOURING""]","[""ACT_RECRUITMENT""]","[""ACT_RECEIPT""]",PARTIAL_OVERLAP_BOTH_HAVE_EXTRAS,0,0.3333333333333333
HRV1-010,1238,Slovakia,ACT,1,"[""ACT_TRANSPORTATION""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION""]","[""ACT_TRANSPORTATION""]",[],"[""ACT_RECRUITMENT""]",HUMAN_BROADER,0,0.5
HRV1-011,1396,China,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT""]",[],[],EXACT_MATCH,1,1.0
HRV1-036,1399,United States of America,ACT,1,"[""ACT_HARBOURING""]","[""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_HARBOURING""]",[],"[""ACT_RECEIPT""]",HUMAN_BROADER,0,0.5
HRV1-029,1462,United States of America,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION""]",[],"[""ACT_HARBOURING""]",HUMAN_BROADER,0,0.6666666666666666
HRV1-020,1508,Jordan,ACT,1,"[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]",[],[],EXACT_MATCH,1,1.0
HRV1-048,1517,Jordan,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSFER""]","[""ACT_RECRUITMENT"",""ACT_TRANSFER""]","[""ACT_RECRUITMENT"",""ACT_TRANSFER""]",[],[],EXACT_MATCH,1,1.0
HRV1-041,1566,Venezuela (Bolivarian Republic of),ACT,1,"[""ACT_TRANSPORTATION"",""ACT_TRANSFER""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_TRANSPORTATION""]","[""ACT_TRANSFER""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]",PARTIAL_OVERLAP_BOTH_HAVE_EXTRAS,0,0.2
HRV1-014,13,Azerbaijan,MEANS,1,"[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]",[],[],EXACT_MATCH,1,1.0
HRV1-003,23,United Kingdom of Great Britain and Northern Ireland,MEANS,1,"[""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]",[],[],EXACT_MATCH,1,1.0
HRV1-024,34,Italy,MEANS,1,"[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL""]",[],[],EXACT_MATCH,1,1.0
HRV1-005,38,Namibia,MEANS,1,"[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]",[],[],EXACT_MATCH,1,1.0
HRV1-040,52,Netherlands (Kingdom of the),MEANS,1,"[""MEANS_THREAT_FORCE_OR_COERCION""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION""]",[],"[""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]",HUMAN_BROADER,0,0.5
HRV1-078,53,Argentina,MEANS,1,"[""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]",[],[],EXACT_MATCH,1,1.0
HRV1-007,54,Seychelles,MEANS,1,"[""MEANS_DECEPTION""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_DECEPTION""]",[],"[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]",HUMAN_BROADER,0,0.3333333333333333
HRV1-008,58,Costa Rica,MEANS,1,"[""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL""]","[""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL""]","[""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL""]",[],[],EXACT_MATCH,1,1.0
HRV1-006,68,Luxembourg,MEANS,1,"[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]",[],[],EXACT_MATCH,1,1.0
HRV1-039,123,Colombia,MEANS,1,"[""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]",[],"[""MEANS_THREAT_FORCE_OR_COERCION""]",HUMAN_BROADER,0,0.6666666666666666
HRV1-044,127,Greece,MEANS,1,"[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]",[],"[""MEANS_DECEPTION""]",HUMAN_BROADER,0,0.6666666666666666
HRV1-052,146,North Macedonia,MEANS,1,"[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]",[],[],EXACT_MATCH,1,1.0
HRV1-056,167,Dominican Republic,MEANS,1,"[""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]",[],[],EXACT_MATCH,1,1.0
HRV1-004,202,Poland,MEANS,1,"[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL""]",[],[],EXACT_MATCH,1,1.0
HRV1-042,235,Kenya,MEANS,1,"[""MEANS_ABDUCTION""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION""]","[""MEANS_ABDUCTION""]",[],"[""MEANS_THREAT_FORCE_OR_COERCION""]",HUMAN_BROADER,0,0.5
HRV1-001,237,United States of America,MEANS,1,"[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]","[""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY""]",[],[],EXACT_MATCH,1,1.0
