source_row_number,reliability_case_id,review_status,field,severity,blocks_scoring,code,message,raw_value,normalized_value
17,HRV1-016,SUBSTANTIVE,Geographic Form human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Geographic list syntax/order normalized without semantic mapping,[“Transnational”],"[""Transnational""]"
22,HRV1-021,SKIP,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", “Harbouring”, ""Receipt""]","[""Recruitment"", ""Harbouring"", ""Receipt""]"
23,HRV1-022,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", ""Transportation"", “Transfer”, ”Harbouring”, “Receipt”]","[""Recruitment"", ""Transportation"", ""Transfer"", ""Harbouring"", ""Receipt""]"
24,HRV1-023,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", ""Transportation"", ""Receipt"", ""Harbouring""]","[""Recruitment"", ""Transportation"", ""Harbouring"", ""Receipt""]"
24,HRV1-023,SUBSTANTIVE,Means human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Threat or use of force or other forms of coercion"", “Deception”,  ""Abuse of power or a position of vulnerability""
]","[""Threat or use of force or other forms of coercion"", ""Deception"", ""Abuse of power or a position of vulnerability""]"
25,HRV1-024,SUBSTANTIVE,Geographic Form human labeled,INFO,0,OCG_SPLIT_FROM_GEOGRAPHIC_FORM,Organized Criminal Group extracted into its separate binary field,"[""Transnational"", ""Organized Criminal Group""]","[""Transnational""]"
27,HRV1-026,ABSTAIN,multiplicity human labeled,INFO,0,ABSTAIN_AUXILIARY_PRESERVED_NOT_EVALUATED,Auxiliary value is preserved but masked from evaluation for ABSTAIN,SINGLE,SINGLE
27,HRV1-026,ABSTAIN,child human labeled,INFO,0,ABSTAIN_AUXILIARY_PRESERVED_NOT_EVALUATED,Auxiliary value is preserved but masked from evaluation for ABSTAIN,UNKNOWN,UNKNOWN
29,HRV1-028,SKIP,multiplicity human labeled,WARNING,0,OUTSIDE_COHORT_SENTINEL_NORMALIZED,Explicit outside-cohort sentinel normalized to Not Applicable,NOT_APPLICABLE_OUTSIDE_PRIMARY_COHORT,Not Applicable
29,HRV1-028,SKIP,child human labeled,WARNING,0,OUTSIDE_COHORT_SENTINEL_NORMALIZED,Explicit outside-cohort sentinel normalized to Not Applicable,NOT_APPLICABLE_OUTSIDE_PRIMARY_COHORT,Not Applicable
30,HRV1-029,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", “Transportation”, ""Harbouring""]","[""Recruitment"", ""Transportation"", ""Harbouring""]"
31,HRV1-030,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[“Receipt”, “Harbouring”, ""Recruitment""]","[""Recruitment"", ""Harbouring"", ""Receipt""]"
33,HRV1-032,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", “Harbouring”, ""Receipt""]","[""Recruitment"", ""Harbouring"", ""Receipt""]"
33,HRV1-032,SUBSTANTIVE,Geographic Form human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Geographic list syntax/order normalized without semantic mapping,"[“Internal""]","[""Internal""]"
34,HRV1-033,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", “Transportation”, ""Receipt""]","[""Recruitment"", ""Transportation"", ""Receipt""]"
34,HRV1-033,SUBSTANTIVE,Geographic Form human labeled,INFO,0,OCG_SPLIT_FROM_GEOGRAPHIC_FORM,Organized Criminal Group extracted into its separate binary field,"[""Transnational"", ""Organized Criminal Group""]","[""Transnational""]"
35,HRV1-034,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Receipt"", “Harbouring”, “Recruitment”]","[""Recruitment"", ""Harbouring"", ""Receipt""]"
37,HRV1-036,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[“Harbouring”, ""Receipt""]","[""Harbouring"", ""Receipt""]"
40,HRV1-039,SUBSTANTIVE,Means human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Deception"", ""Abuse of power or a position of vulnerability”, ""Threat or use of force or other forms of coercion”]","[""Threat or use of force or other forms of coercion"", ""Deception"", ""Abuse of power or a position of vulnerability""]"
40,HRV1-039,SUBSTANTIVE,Geographic Form human labeled,INFO,0,OCG_SPLIT_FROM_GEOGRAPHIC_FORM,Organized Criminal Group extracted into its separate binary field,"[""Transnational"", ""Organized Criminal Group""]","[""Transnational""]"
41,HRV1-040,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[“Harbouring”, “Transportation”, “Recruitment”]","[""Recruitment"", ""Transportation"", ""Harbouring""]"
41,HRV1-040,SUBSTANTIVE,Means human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Threat or use of force or other forms of coercion”, ""Abuse of power or a position of vulnerability”]","[""Threat or use of force or other forms of coercion"", ""Abuse of power or a position of vulnerability""]"
42,HRV1-041,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", “Transportation"", ""Harbouring"", ""Receipt""]","[""Recruitment"", ""Transportation"", ""Harbouring"", ""Receipt""]"
43,HRV1-042,SUBSTANTIVE,Means human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[“Abduction”, ""Threat or use of force or other forms of coercion""]","[""Threat or use of force or other forms of coercion"", ""Abduction""]"
45,HRV1-044,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", ""Transportation"", “Harbouring”, ‘Receipt”]","[""Recruitment"", ""Transportation"", ""Harbouring"", ""Receipt""]"
45,HRV1-044,SUBSTANTIVE,Means human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Threat or use of force or other forms of coercion"", ""Abuse of power or a position of vulnerability”, “Deception”]","[""Threat or use of force or other forms of coercion"", ""Deception"", ""Abuse of power or a position of vulnerability""]"
46,HRV1-045,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", ""Receipt"", “Harbouring""]","[""Recruitment"", ""Harbouring"", ""Receipt""]"
46,HRV1-045,SUBSTANTIVE,Geographic Form human labeled,INFO,0,OCG_SPLIT_FROM_GEOGRAPHIC_FORM,Organized Criminal Group extracted into its separate binary field,"[""Transnational"", ""Organized Criminal Group""]","[""Transnational""]"
47,HRV1-046,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[“Recruitment"", ""Harbouring"", ""Receipt""]","[""Recruitment"", ""Harbouring"", ""Receipt""]"
47,HRV1-046,SUBSTANTIVE,Means human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Threat or use of force or other forms of coercion”, “Abuse of power or a position of vulnerability""]","[""Threat or use of force or other forms of coercion"", ""Abuse of power or a position of vulnerability""]"
48,HRV1-047,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[“Recruitment"", ""Harbouring"", ""Receipt""]","[""Recruitment"", ""Harbouring"", ""Receipt""]"
48,HRV1-047,SUBSTANTIVE,Geographic Form human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Geographic list syntax/order normalized without semantic mapping,[Internal],"[""Internal""]"
50,HRV1-049,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[“Recruitment"", ""Harbouring"", ""Receipt""]","[""Recruitment"", ""Harbouring"", ""Receipt""]"
56,HRV1-055,SUBSTANTIVE,Means human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Deception"", ""Abuse of power or a position of vulnerability”, ""Threat or use of force or other forms of coercion”]","[""Threat or use of force or other forms of coercion"", ""Deception"", ""Abuse of power or a position of vulnerability""]"
57,HRV1-056,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", ""Transfer"", “Harbouring”, ""Receipt""]","[""Recruitment"", ""Transfer"", ""Harbouring"", ""Receipt""]"
58,HRV1-057,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", ""Transportation"", “Harbouring”, ""Receipt""]","[""Recruitment"", ""Transportation"", ""Harbouring"", ""Receipt""]"
59,HRV1-058,SKIP,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", ""Transportation"", “Harbouring”, ""Receipt""]","[""Recruitment"", ""Transportation"", ""Harbouring"", ""Receipt""]"
63,HRV1-062,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", “Transportation"", ""Harbouring"", ""Receipt""]","[""Recruitment"", ""Transportation"", ""Harbouring"", ""Receipt""]"
66,HRV1-065,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", “Transportation"", ""Harbouring"", ""Receipt""]","[""Recruitment"", ""Transportation"", ""Harbouring"", ""Receipt""]"
66,HRV1-065,SUBSTANTIVE,Means human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Threat or use of force or other forms of coercion”, “Deception”, ""Abuse of power or a position of vulnerability""]","[""Threat or use of force or other forms of coercion"", ""Deception"", ""Abuse of power or a position of vulnerability""]"
68,HRV1-067,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[“Transportation"", ""Harbouring""]","[""Transportation"", ""Harbouring""]"
69,HRV1-068,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[“Harbouring”, ""Receipt""]","[""Harbouring"", ""Receipt""]"
69,HRV1-068,SUBSTANTIVE,Purpose human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Exploitation of the prostitution of others or other forms of sexual exploitation”, ""Slavery or practices similar to slavery""]","[""Exploitation of the prostitution of others or other forms of sexual exploitation"", ""Slavery or practices similar to slavery""]"
71,HRV1-070,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Transportation"", “Harbouring”, ""Recruitment"", ""Receipt""]","[""Recruitment"", ""Transportation"", ""Harbouring"", ""Receipt""]"
71,HRV1-070,SUBSTANTIVE,Means human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Threat or use of force or other forms of coercion"", “Deception”, ”Abuse of power or a position of vulnerability""]","[""Threat or use of force or other forms of coercion"", ""Deception"", ""Abuse of power or a position of vulnerability""]"
72,HRV1-071,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Transportation"", “Harbouring”, ""Recruitment"", ""Receipt""]","[""Recruitment"", ""Transportation"", ""Harbouring"", ""Receipt""]"
72,HRV1-071,SUBSTANTIVE,Means human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Deception"", ""Abuse of power or a position of vulnerability”]","[""Deception"", ""Abuse of power or a position of vulnerability""]"
73,HRV1-072,SUBSTANTIVE,Geographic Form human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Geographic list syntax/order normalized without semantic mapping,"[""Internal"", “Transnational”, ""Transnational"", ""Organized Criminal Group""]","[""Internal"", ""Transnational"", ""Organized Criminal Group""]"
73,HRV1-072,SUBSTANTIVE,Geographic Form human labeled,WARNING,0,DUPLICATE_LABEL_DEDUPLICATED,Duplicate geographic set member removed deterministically,"[""Internal"", “Transnational”, ""Transnational"", ""Organized Criminal Group""]","[""Internal"", ""Transnational"", ""Organized Criminal Group""]"
73,HRV1-072,SUBSTANTIVE,Geographic Form human labeled,INFO,0,OCG_SPLIT_FROM_GEOGRAPHIC_FORM,Organized Criminal Group extracted into its separate binary field,"[""Internal"", “Transnational”, ""Transnational"", ""Organized Criminal Group""]","[""Internal"", ""Transnational""]"
74,HRV1-073,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
75,HRV1-074,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
76,HRV1-075,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
77,HRV1-076,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
79,HRV1-078,SUBSTANTIVE,Geographic Form human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Geographic list syntax/order normalized without semantic mapping,"[“Internal""]","[""Internal""]"
80,HRV1-079,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
81,HRV1-080,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
82,HRV1-081,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
83,HRV1-082,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
84,HRV1-083,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
85,HRV1-084,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
86,HRV1-085,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
87,HRV1-086,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
88,HRV1-087,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
89,HRV1-088,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
90,HRV1-089,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
91,HRV1-090,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
92,HRV1-091,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
93,HRV1-092,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
94,HRV1-093,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
95,HRV1-094,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
96,HRV1-095,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
97,HRV1-096,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
98,HRV1-097,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
99,HRV1-098,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
100,HRV1-099,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
101,HRV1-100,NOT_REVIEWED,Done?,INFO,0,UNREVIEWED_PREPOPULATED_VALUES_IGNORED,Done? is blank; all human-label cells are ignored,,
